CONNECTIONS LOG

192.168.1.34>2020-02-13 21:18:59.192183
192.168.1.34>2020-02-17 21:12:40.408335
192.168.1.34>2020-02-17 21:13:08.040699
192.168.1.34>2020-02-17 21:14:57.785406
192.168.1.34>2020-02-17 21:15:06.857614
192.168.1.34>2020-02-17 21:22:21.148966
192.168.1.34>2020-02-17 21:22:39.581232
192.168.1.34>2020-02-17 21:30:37.905394
192.168.1.34>2020-02-17 21:30:48.289378
192.168.1.34>2020-02-17 21:32:04.905830
192.168.1.34>2020-02-17 21:32:25.321647
192.168.1.34>2020-02-17 21:33:44.616735
192.168.1.34>2020-02-17 21:33:54.096611
192.168.1.34>2020-02-17 21:37:27.463219
192.168.1.34>2020-02-17 21:37:46.831067
192.168.1.34>2020-02-17 21:38:47.022814
192.168.1.34>2020-02-17 21:38:57.918827
192.168.1.34>2020-02-17 21:51:07.415743
192.168.1.34>2020-02-17 21:51:18.151797
192.168.1.34>2020-02-21 21:06:27.906756
192.168.1.34>2020-02-21 21:08:44.949386
192.168.1.34>2020-02-21 21:09:04.877643
192.168.1.34>2020-02-21 21:10:26.507029
192.168.1.34>2020-02-21 21:10:34.546657
192.168.1.34>2020-02-21 21:11:14.065495
192.168.1.34>2020-02-21 21:11:23.113211
192.168.1.34>2020-02-22 17:59:06.255170
192.168.1.34>2020-02-22 17:59:48.623708
192.168.1.34>2020-02-22 18:01:23.832368
192.168.1.34>2020-02-22 18:03:03.120951
192.168.1.34>2020-02-22 18:04:06.816182
192.168.1.34>2020-02-22 18:27:03.485251
192.168.1.34>2020-02-22 18:27:31.484421
192.168.1.34>2020-02-22 18:29:02.692989
192.168.1.34>2020-02-22 18:29:18.052994
192.168.1.34>2020-02-22 18:44:12.911592
192.168.1.34>2020-02-22 18:46:12.199903
192.168.1.34>2020-02-22 18:46:34.928162
192.168.1.34>2020-02-22 18:49:31.344568
192.168.1.34>2020-02-22 18:49:52.032788
192.168.1.34>2020-02-22 18:51:42.953147
192.168.1.34>2020-02-22 18:51:51.961141
192.168.1.34>2020-02-22 19:04:54.910785
192.168.1.34>2020-02-22 19:05:05.510867
192.168.1.34>2020-02-22 19:08:17.408203
192.168.1.34>2020-02-22 19:08:27.096325
192.168.1.34>2020-02-22 19:11:44.281629
192.168.1.34>2020-02-22 19:11:53.753637
192.168.1.34>2020-02-22 19:14:46.258826
192.168.1.34>2020-02-22 19:14:54.666794
192.168.1.34>2020-02-22 22:21:35.141742
192.168.1.34>2020-02-22 22:25:19.856764
192.168.1.34>2020-02-22 22:26:37.588807
192.168.1.34>2020-02-22 22:29:52.615278
192.168.1.34>2020-02-22 22:32:49.552964
192.168.1.34>2020-02-22 22:36:46.825039
192.168.1.34>2020-02-22 22:37:53.448930
192.168.1.34>2020-02-22 22:38:59.760774
192.168.1.34>2020-02-22 22:42:04.024462
192.168.1.34>2020-02-22 22:46:00.975773
192.168.1.34>2020-02-22 22:48:03.799578
192.168.1.34>2020-02-22 22:49:58.807234
192.168.1.34>2020-02-22 22:51:20.646964
192.168.1.34>2020-02-22 22:52:49.262820
192.168.1.34>2020-02-22 22:53:38.958742
192.168.1.34>2020-02-22 22:54:09.118570
192.168.1.34>2020-02-22 22:56:04.614373
192.168.1.34>2020-02-22 22:56:48.502231
192.168.1.34>2020-02-22 22:58:41.958000
192.168.1.34>2020-02-22 23:00:33.029607
192.168.1.34>2020-02-22 23:02:27.357443
192.168.1.34>2020-02-22 23:04:36.917113
192.168.1.34>2020-02-22 23:04:47.757001
192.168.1.34>2020-02-22 23:06:56.700462
192.168.1.34>2020-02-22 23:07:10.684774
192.168.1.34>2020-02-22 23:13:10.259619
192.168.1.34>2020-02-22 23:13:20.523726
192.168.1.34>2020-02-22 23:15:22.323496
192.168.1.34>2020-02-22 23:17:14.883183
192.168.1.34>2020-02-22 23:17:23.619068
192.168.1.34>2020-02-22 23:19:17.058905
192.168.1.34>2020-02-22 23:19:29.778816
192.168.1.34>2020-02-22 23:21:03.778625
192.168.1.34>2020-02-22 23:21:21.050477
192.168.1.34>2020-02-22 23:25:10.906040
192.168.1.34>2020-02-22 23:25:17.505942
192.168.1.34>2020-02-23 09:53:12.279292
192.168.1.34>2020-02-23 09:53:30.151346
192.168.1.34>2020-02-23 09:55:16.111667
192.168.1.34>2020-02-23 09:56:37.896054
192.168.1.34>2020-02-23 09:57:08.824036
192.168.1.34>2020-02-23 09:58:32.536397
192.168.1.34>2020-02-23 09:59:50.280605
192.168.1.34>2020-02-23 10:00:58.152705
192.168.1.34>2020-02-23 10:03:21.385139
192.168.1.34>2020-02-23 10:05:53.889707
192.168.1.34>2020-02-23 17:15:37.427070
192.168.1.34>2020-02-23 17:17:34.978435
192.168.1.34>2020-02-23 17:18:33.433339
192.168.1.34>2020-02-23 17:18:43.305241
192.168.1.34>2020-02-23 17:19:56.718821
192.168.1.34>2020-02-23 17:23:22.104159
192.168.1.34>2020-02-23 17:23:38.320558
192.168.1.34>2020-02-23 17:25:03.114169
192.168.1.34>2020-02-23 17:25:18.802108
192.168.1.34>2020-02-23 17:26:33.378304
192.168.1.34>2020-02-23 17:26:44.690241
192.168.1.34>2020-02-23 17:36:01.148526
192.168.1.34>2020-02-23 17:36:12.287498
192.168.1.34>2020-02-23 17:37:50.322904
192.168.1.34>2020-02-23 17:38:01.082773
192.168.1.34>2020-02-23 17:57:08.802252
192.168.1.34>2020-02-23 17:57:57.506111
192.168.1.34>2020-02-23 18:10:03.203527
192.168.1.34>2020-02-23 18:10:31.259140
192.168.1.34>2020-02-23 18:15:19.984842
192.168.1.34>2020-02-23 18:15:35.985529
192.168.1.34>2020-02-24 11:17:45.160749
192.168.1.34>2020-02-24 11:19:49.249560
192.168.1.34>2020-02-24 11:21:00.969967
192.168.1.34>2020-02-24 11:22:17.978056
192.168.1.34>2020-02-24 11:23:09.321376
192.168.1.34>2020-02-24 11:35:48.134147
192.168.1.34>2020-02-24 11:37:14.870645
192.168.1.34>2020-02-24 11:39:56.303725
192.168.1.34>2020-02-24 11:40:51.776005
192.168.1.34>2020-02-24 11:41:19.840244
192.168.1.34>2020-02-24 11:42:15.664529
